id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
NSI_cryosanctum,Cryosanctum,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/cryosanctum.png,niko_scavengableindustries.industries.NSICryosanctum,"An enormous tomb-like vault built to store those who choose to risk cryosleep to pass this time of troubles to wake in what will presumably be a more civilized age. The cryopods themselves are insignificant in size compared to the many-times redundant support infrastructure, massive automated security systems and anti-ship batteries, all housed in a branching subsurface fortress-labyrinth.",3000,EXTREME
NSI_trainingGrounds,Training Grounds,80,80,,12,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/illustrations/raid_preparation.jpg,niko_scavengableindustries.industries.TrainingCamp,"A dedicated, hard-boiled training complex purpose-built to turn green-headed noobies into grizzled combat veterans. 

Spanning hundreds of kilometers, this vast complex of tunnels, bunks, canteens and live-fire zones creates a perfect simulation of combat. Officers trained on the military-commander's specific leadership style drill into their marines' heads day in and day out, ensuring perfect performance over time.",302,EXTREME
NSI_nebulaSiphoner,Nebula Skimming,40,120,,2,,,"mining, industry, industrial, codex_unlockable",,graphics/icons/industry/gas_giant_mining.png,niko_scavengableindustries.industries.NebulaSiphoner,"Flotillas of skim-skiffs, towers tipped with atmos-collectors, and burning autoclaves convert interstellar gas clouds into usable dihydrogen and other unstable compounds used in starship fuel. The work tends to attract the easily impressed, who are struck by awe by the crackling grab-nets of the patrolling skiffs in planetary orbit.

Notably less strenuous than typical deep-rock mining - and thus, requires no underworld to maintain.",303,MEDIUM
NSI_expertDockworks,Innovation Shipworks,100,360,,34,,,"uses_blueprints, industry, industrial, codex_unlockable",,graphics/illustrations/coronal_tap.jpg,niko_scavengableindustries.industries.ExpertDockworks,"Where an orbital works is a platform for ship mass-production in an ideal environment, the so-called ""Innovation Shipworks"" are a highly modular and cutting edge engineering platform designed to eek out as much potential out of every ship as possible.

Thought to be lost to time, this original Mbaye-Gogol spec utilizes scavenged technology, precision zero-point engineering, and the best engineers money can buy to perform large-scale engineering feats known only to the Domain. And the cost reflects this.",1700,EXTREME
NSI_STCDistrict,STC Complex,80,240,,26,,,"structure, codex_unlockable",,graphics/illustrations/freighters.jpg,niko_scavengableindustries.industries.STCDistrict,"A dedicated Space Traffic Control center (STC), spanning hundreds of kilometers with numerous outposts dotted around the rest of the colony. Using cutting edge tachyon-processor commlinks, this complex can breach the FTL barrier for communication and optimize any flightpath through the system to manage even the worst of interstellar gridlock.

A rarity even post-collapse, this innovation of beuracracy is essential for managing large empires and system-states both.",1800,HIGH
NSI_SpyBureau,Spy Bureau,140,360,,32,,,"industry, codex_unlockable",,graphics/illustrations/bombardment_saturation.jpg,niko_scavengableindustries.industries.SpyBureau.SpyBureau,"All factions have their own intelligence division, in some shape or form. How else would they receive news of raids, invasions? What most factions do not have, however, is an entire clandestine subunit dedicated entirely to espionage. This is what the Bureau accomplishes, a massive nearly planet-spanning coordination network to rival COMSEC of old.

Through this complex, plans are divised, material is smuggled, operatives are inserted, and many things are wiped from the books never to be seen in the light of day. Order is maintained through the shadows, and those unlucky enough to find themselves your enemy find a knife in their back and a bomb in their shuttle.

Takes two industry slots.",1800,EXTREME
NSI_SpyBureauSecondInd,invisible ind,0,0,,0,,,"industry, hidden_in_codex, unraidable",,graphics/illustrations/bombardment_saturation.jpg,niko_scavengableindustries.industries.SpyBureau.SpyBureauSecondInd,u shouldnmt see this,1800,EXTREME
NSI_SpyOutpost,Spy Outpost,30,90,,7,,,"structure, codex_unlockable",,graphics/illustrations/covert_squad.jpg,niko_scavengableindustries.industries.SpyBureau.SpyOutpost,"Under the perview of a larger intelligence network, outposts, beachheads, and dead drops can be established on a controlled world to create a launching point for involved incursions. Such an undertaking is expensive, but worth it, if one is interested in the finer details of subterfuge.",1800,HIGH
NSI_blastCoreMining,Blast-Core Mining,5,30,,1,,,"structure, codex_unlockable",,graphics/illustrations/mine.jpg,niko_scavengableindustries.industries.BlastCoreMining,"Decried by environmentalists, conservatives, and Luddites alike, blast-core mining is the process wherein nuclear charges are detonated to produce vast quantites of ore, albiet at the cost of long-term habitability. Surprisingly cheap to implement, this allows the user to rapidly set up profitable mining colonies and abandon them when ore deposits run dry.",1800,LOW
NSI_constructionAcceleratorIndustry,Scaffolding Infrastructure,20,10,,18,,,"industry, codex_unlockable",,graphics/illustrations/industrial_megafacility.jpg,niko_scavengableindustries.industries.ConstructionAccelerator,"While the titular infrastructure always existed, it was rarely, if ever, taken to this extent. Massive subsidies, incentives, and liberally placed construction outposts permits the host colony easy access to material, manpower, and location for new industry.",301,LOW
NSI_ASBUplink,Orbital Flak Cannons,120,240,,30,,,"industry, unraidable, tactical_bombardment, codex_unlockable",,graphics/illustrations/desert_moons_ruins.jpg,niko_scavengableindustries.industries.ASBUplink.ASBUplink,"Augments the existing planetary defense network with a large number of hidden and heavily armored intrastellar flak cannons. While useful for anti-ground action by dispensing liberal amounts of explosive shrapnel onto incoming targets, its true purpose is for area denial.

Gunners stationed 24/7 establish a no-fly zone around the colony, firing massive shells of hellfire towards whatever dares to violate it. And while it is pitifully easy to maneuver around these shells, a barrage methodology ensures the occasional devastating hit and discourges lesser adversaries.",1800,EXTREME
